LineID,Type,Speaker,Value,Next
# === 1차 개인 이벤트 (검증용 최소 스캐폴드) ===
# 기획서: 1차 이벤트 기본점수 +3. 3차 재선택 +2 보정용 첫 분기점.
# CSV 호출 컨벤션: Affinity:EventChoice:{heroineId}:Event1:3

# --- 진입 ---
,BG,,캠퍼스거리1 낮 맑음:Cross,await
,Sound,,BGM:일상1,>
,Place,,1차 이벤트 | 캠퍼스,await
,Text,,"개강 후 한 달이 지났다.\n이번 주말, 누구와 시간을 보낼지 정해야 한다.",click

# --- 선택지: 5 히로인 ---
,Choice,,,
,Option,,"하예은과 만난다.|pick_hayeeun",
,Option,,"서다은과 만난다.|pick_seodaeun",
,Option,,"이봄과 만난다.|pick_leebom",
,Option,,"도희원과 만난다.|pick_doheewon",
,Option,,"로아와 시간을 보낸다.|pick_roa",

# --- 분기: HaYeEun ---
pick_hayeeun,Flow,,Affinity:EventChoice:HaYeEun:Event1:3,>
,Char,,C:Enter:하예은:밝게웃음,await
,Text,하예은,"{{Player}}! 와 줘서 고마워.",click
,Text,,"하예은과의 시간을 함께 보냈다.",click
,Flow,,Jump:event1_end,>

# --- 분기: SeoDaEun ---
pick_seodaeun,Flow,,Affinity:EventChoice:SeoDaEun:Event1:3,>
,Char,,C:Enter:서다은:기본,await
,Text,서다은,"...와 줬구나. 잠시만 기다려.",click
,Text,,"서다은과 함께 조용한 카페에서 시간을 보냈다.",click
,Flow,,Jump:event1_end,>

# --- 분기: LeeBom ---
pick_leebom,Flow,,Affinity:EventChoice:LeeBom:Event1:3,>
,Char,,C:Enter:이봄:활짝웃음,await
,Text,이봄,"오늘 진짜 재밌게 놀자!",click
,Text,,"이봄과 캠퍼스를 돌며 활기차게 보냈다.",click
,Flow,,Jump:event1_end,>

# --- 분기: DoHeewon ---
pick_doheewon,Flow,,Affinity:EventChoice:DoHeewon:Event1:3,>
,Char,,C:Enter:도희원:기본,await
,Text,도희원,"늦었네. 약속은 지켜야지.",click
,Text,,"도희원과 함께 차분히 하루를 보냈다.",click
,Flow,,Jump:event1_end,>

# --- 분기: Roa ---
pick_roa,Flow,,Affinity:EventChoice:Roa:Event1:3,>
,Text,로아,"<emote=밝게웃음/>나야? 정말? 기뻐!",click
,Text,,"로아와 함께 방에서 조용히 시간을 보냈다.",click
,Flow,,Jump:event1_end,>

# --- 공통 종료 ---
event1_end,Text,,"하루가 저물었다.",click
,BG,,빈 화면:Cross,await
,Flow,,Save,await
,Flow,,End,>
