LineID,Type,Speaker,Value,Next
# === 3차 개인 이벤트 (검증용 최소 스캐폴드) ===
# 기획서: 3차 이벤트 기본점수 +9. Event1/Event2와 같은 히로인 재선택 시 +2(로아 제외 — 공식이 자동 처리).
# CSV 호출 컨벤션: Affinity:EventChoice:{heroineId}:Event3:9

,BG,,캠퍼스거리1 낮 맑음:Cross,await
,Sound,,BGM:일상1,>
,Place,,3차 이벤트 | 캠퍼스,await
,Text,,"종강이 머지않았다. 마음을 전할 기회도 이제 얼마 없다.",click
,Text,,"마지막으로... 누구와 함께할까.",click

,Choice,,,
,Option,,"하예은과 만난다.|pick_hayeeun",
,Option,,"서다은과 만난다.|pick_seodaeun",
,Option,,"이봄과 만난다.|pick_leebom",
,Option,,"도희원과 만난다.|pick_doheewon",
,Option,,"로아와 시간을 보낸다.|pick_roa",

pick_hayeeun,Flow,,Affinity:EventChoice:HaYeEun:Event3:9,>
,Char,,C:Enter:하예은:부끄,await
,Text,하예은,"이번에도 나야? ...기뻐서 어떡하지.",click
,Flow,,Jump:event3_end,>

pick_seodaeun,Flow,,Affinity:EventChoice:SeoDaEun:Event3:9,>
,Char,,C:Enter:서다은:눈웃음,await
,Text,서다은,"세 번째. ...통계적으로 유의미하네.",click
,Flow,,Jump:event3_end,>

pick_leebom,Flow,,Affinity:EventChoice:LeeBom:Event3:9,>
,Char,,C:Enter:이봄:밝게웃음,await
,Text,이봄,"히히, 이젠 네가 부르는 게 당연한 느낌이야.",click
,Flow,,Jump:event3_end,>

pick_doheewon,Flow,,Affinity:EventChoice:DoHeewon:Event3:9,>
,Char,,C:Enter:도희원:눈웃음,await
,Text,도희원,"마지막까지 나라... 책임지라는 뜻으로 받아들일게.",click
,Flow,,Jump:event3_end,>

pick_roa,Flow,,Affinity:EventChoice:Roa:Event3:9,>
,Text,로아,"<emote=울먹/>끝까지 나랑 있어주는구나. ...고마워.",click
,Flow,,Jump:event3_end,>

event3_end,Text,,"해가 진다. 이제 정말 며칠 남지 않았다.",click
,BG,,빈 화면:Cross,await
,Flow,,Save,await
,Flow,,End,>
