LineID,Type,Speaker,Value,Next
# ═══ Day 23 아침 - MT 후 일상 복귀 ═══
,BG,,BG_MyRoom_Interior_Day:Cross,await
,Sound,,BGM:Daily1,>
,FX,,EyeOpen:1.0,await
,Text,,"23일차.\nMT에서 돌아온 지 하루. 아직 여운이 남아있다.",click
,Text,,"밤바다에서의 시간이 생생하게 떠오른다.",click
,Char,,C:Enter:Roa,await
,Overlay,,Roa_Theme:FadeIn:0.5,await
,Text,로아,"{{PlayerName}}, MT 어땠어?",click
,Text,{{PlayerName}},좋은 추억이 됐어.,click
,Char,,C:Emote:Happy,await
,Text,로아,"나도! 다들 재밌었다고 했어.",click
,Text,로아,"근데 이제 한 주 남았어. 시간 정말 빠르다...",click
,Char,,C:Emote:Default,await
,Text,로아,"남은 시간도 후회 없이 보내자, {{PlayerName}}!",click
,Char,,C:Exit,await
,Overlay,,FadeOut:0.3,>
,FX,,FadeOut:0.5,await
,FX,,FadeIn:0.5,await
,Flow,,End,>
