LineID,Type,Speaker,Value,Next
# ═══ 3차 개인 이벤트 (Day 26) ═══
# 히로인 선택 후 데이트 이벤트, 선택한 히로인에게 +9 포인트
# 기획서: 이전에 선택한 히로인을 다시 선택하면 +2 보너스 (HeroinePointTracker 처리)
,BG,,Black,await
,Sound,,BGM:Stop:Fade:1.0,await
,FX,,FadeIn:1.0,await
,BG,,CampusStreet/BG_Campus_Street1_Day:Cross:2.0,await
,Sound,,BGM:Daily1,>
,Text,,"학기 종강이 다가온다.\n마지막으로 특별한 시간을 보내고 싶다.",click
,Text,,"누구와 함께할까?",click
# ── 히로인 선택 ──
,Choice,,,>
,Option,,"하예은|Event3_Yeun|Love:Yeun:9",>
,Option,,"서다은|Event3_Daeun|Love:Daeun:9",>
,Option,,"이봄|Event3_Bom|Love:Bom:9",>
,Option,,"도희원|Event3_Heewon|Love:Heewon:9",>
,Option,,"로아 (앱)|Event3_Roa|Love:Roa:9",>
# ── 하예은 ──
Event3_Yeun,Char,,C:Enter:Yeun:Smile,await
,Text,하예은,"{{PlayerName}}! 종강 전에 같이 놀자!",click
,Text,하예은,"야경 보러 가자! 학교 옥상에서!",click
,Text,{{PlayerName}},좋아.,click
,Char,,C:Emote:Happy,await
,Text,하예은,"이번 학기... 진짜 재미있었어.\n다 {{PlayerName}} 덕분이야.",click
,Text,하예은,"다음 학기에도... 옆에 있어줄 거지?",click
,Text,{{PlayerName}},당연하지.,click
,Char,,C:Emote:Shy,await
,Text,하예은,"...고마워.",click
,Char,,C:Exit,await
,Text,,"예은이와의 마지막 이벤트.\n가슴이 따뜻해졌다.",click
,Flow,,Jump:Event3_End,>
# ── 서다은 ──
Event3_Daeun,Char,,C:Enter:Daeun:Default,await
,Text,서다은,"...종강이네.",click
,Text,서다은,"이번에는 도서관 말고...\n내가 좋아하는 카페로 가자.",click
,Text,{{PlayerName}},다른 데 가자고 하다니. 의외다.,click
,Char,,C:Emote:Shy,await
,Text,서다은,"...특별한 날이니까.",click
,Char,,C:Emote:Smile,await
,Text,서다은,"{{PlayerName}}이랑 보낸 시간...\n소중해. 진심으로.",click
,Char,,C:Exit,await
,Text,,"다은이의 솔직한 고백에\n마음이 울렸다.",click
,Flow,,Jump:Event3_End,>
# ── 이봄 ──
Event3_Bom,Char,,C:Enter:Bom:Happy,await
,Text,이봄,"종강 파티~!\n{{PlayerName}}이랑 같이 하고 싶었어!",click
,Text,{{PlayerName}},같이 뭐 할까?,click
,Char,,C:Emote:Happy,await
,Text,이봄,"사진 찍자! 추억 남기는 거!\n나중에 볼 수 있게!",click
,Text,이봄,"...나 사실 겁났어.\n이 학기가 끝나면 멀어질까 봐.",click
,Char,,C:Emote:Sad,await
,Text,{{PlayerName}},안 멀어져. 약속해.,click
,Char,,C:Emote:Happy,await
,Text,이봄,"...정말? 약속이야!",click
,Char,,C:Exit,await
,Text,,"봄이와 소중한 추억을 만들었다.",click
,Flow,,Jump:Event3_End,>
# ── 도희원 ──
Event3_Heewon,Char,,C:Enter:Heewon:Default,await
,Text,도희원,"...종강.",click
,Text,도희원,"나 할 말 있어.\n그 벤치로 가자.",click
,Text,{{PlayerName}},알겠어.,click
,Char,,C:Emote:Smile,await
,Text,도희원,"...이번 학기, 처음으로 학교 오는 게 싫지 않았어.\n다 네 때문이야.",click
,Char,,C:Emote:Shy,await
,Text,도희원,"...고마워.",click
,Char,,C:Exit,await
,Text,,"진심어린 희원이의 말에\n가슴이 뛰었다.",click
,Flow,,Jump:Event3_End,>
# ── 로아 ──
Event3_Roa,Char,,C:Enter:Roa:Happy,await
,Overlay,,Roa_Theme:FadeIn:0.5,await
,Text,로아,"{{PlayerName}}! 종강이다!",click
,Text,로아,"이번 학기 동안... 나 도움이 됐어?",click
,Text,{{PlayerName}},응. 많이.,click
,Char,,C:Emote:Happy,await
,Text,로아,"다행이다...!\n나도 {{PlayerName}}이랑 많이 행복했어!",click
,Char,,C:Emote:Shy,await
,Text,로아,"앞으로도 계속... 같이 있자.\n나 어디 안 가!",click
,Char,,C:Exit,await
,Overlay,,FadeOut:0.3,>
,Text,,"화면 속 로아의 웃음이\n유난히 따뜻하게 느껴졌다.",click
,Flow,,Jump:Event3_End,>
# ── 공통 마무리 ──
Event3_End,FX,,FadeOut:1.0,await
,Text,,"이 인연의 끝이\n새로운 시작이 되길 바란다.",click
,Flow,,End,>
