LineID,Type,Speaker,Value,Next
# ═══ MT Day 1 (Day 20) - 도착/오리엔테이션 ═══
,BG,,BG_BlackCut:Cut,await
,Sound,,BGM:Stop:Fade:1.0,await
,FX,,FadeIn:1.0,await
,BG,,BG_MT_Day:Cross:2.0,await
,Sound,,BGM:Morning,>
,Text,,"드디어 MT 당일.\n버스를 타고 펜션에 도착했다.",click
,Text,,"짐을 풀자마자 레크레이션이 시작됐다.",click
,Char,,C:Enter:Bom:Happy,await
,Text,이봄,"여기 진짜 좋다~! 빨리 놀자!",click
,Char,,C:Exit,await
,Char,,C:Enter:Yeun:Normal,await
,Text,하예은,"일단 방 정리부터 하자.",click
,Char,,C:Exit,await
,Text,,"시끌벅적한 첫째 날이 시작됐다.",click
,FX,,FadeOut:1.0,await
,Flow,,End,>
