LineID,Type,Speaker,Value,Next
# ═══ Day 25 저녁 - 3차 이벤트 전날, 도희원과 조우 ═══
,FX,,FadeOut:0.5,await
,BG,,StudentCenter/BG_StudentCenter_Front_Night,await
,Sound,,BGM:Night,>
,FX,,FadeIn:1.0,await
,Text,,"저녁, 학생회관 앞을 지나가고 있었다.",click
,Text,,"전에도 이 시간에 여기서 누군가를 만났었지.",click
,Char,,C:Enter:Heewon,await
,Sound,,BGM:Heewon,>
,Text,도희원,"{{PlayerName}} 씨, 또 만나네요.",click
,Char,,C:Emote:Smile,await
,Text,도희원,"벌써 한 달이 다 되어가는데... 빠르죠?",click
,Text,{{PlayerName}},그러게요. 시간이 순식간이에요.,click
,Text,도희원,"{{PlayerName}} 씨 덕분에 힘든 일도 잘 넘겼어요.",click
,Char,,C:Emote:Default,await
,Text,도희원,"내일... 혹시 시간 있으세요?",click
,Text,,"의미심장한 눈빛이었다.\n내일이 기대된다.",click
,Char,,C:Exit,await
,Sound,,BGM:Night,>
,FX,,FadeOut:1.0,await
,Flow,,End,>
