LineID,Type,Speaker,Value,Next
# ═══ Day 5 저녁 - 내일 이벤트 예고 (로아) ═══
,FX,,FadeOut:0.5,await
,BG,,BG_MyRoom_Interior_Night:Cross,await
,Sound,,BGM:Night,>
,FX,,FadeIn:1.0,await
,Text,,"집에 돌아와 쉬고 있는데, 핸드폰이 울렸다.",click
,Char,,C:Enter:Roa,await
,Overlay,,Roa_Theme:FadeIn:0.5,await
,Text,로아,"{{PlayerName}}, 내일 특별한 이벤트가 있어!",click
,Text,로아,"동아리 소개 행사인데, 여러 사람들을 만날 수 있는 좋은 기회야.",click
,Char,,C:Emote:Happy,await
,Text,로아,"누구를 만나게 될지 기대되지 않아?",click
,Text,{{PlayerName}},그러게. 기대되는데.,click
,Text,로아,"그럼 내일 봐! 푹 쉬어~",click
,Char,,C:Exit,await
,Overlay,,FadeOut:0.3,>
,FX,,FadeOut:1.0,await
,Flow,,End,>
