LineID,Type,Speaker,Value,Next
# ═══ Day 29 저녁 - 고백 전날 밤 ═══
,FX,,FadeOut:0.5,await
,BG,,MyRoom/BG_MyRoom_Interior_Night,await
,Sound,,BGM:Night,>
,FX,,FadeIn:1.0,await
,Text,,"29일차 밤.\n내일이면... 모든 게 끝난다.",click
,Text,,"이 한 달간 함께한 사람들의 얼굴이 하나하나 떠올랐다.",click
,Text,,"처음 만났을 때, 함께 웃었던 순간들, 그리고...",click
,Text,,"마음속에 가장 크게 남아있는 한 사람.",click
,Char,,C:Enter:Roa,await
,Overlay,,Roa_Theme:FadeIn:0.5,await
,Char,,C:Emote:Default,await
,Text,로아,"{{PlayerName}}...",click
,Text,로아,"내일이 마지막 날이야.",click
,Text,{{PlayerName}},......,click
,Text,로아,"후회 없는 선택을 해, {{PlayerName}}.",click
,Char,,C:Emote:Smile,await
,Text,로아,"뭘 선택하든, 나는 응원할게.",click
,Text,{{PlayerName}},고마워... 로아.,click
,Char,,C:Exit,await
,Overlay,,FadeOut:0.3,>
,Text,,"밤은 깊어간다.\n내일, 솔직해지자.",click
,FX,,FadeOut:1.0,await
,Flow,,End,>
