LineID,Type,Speaker,Value,Next
# ═══ Day 3 저녁 - 도희원과 학생회관 ═══
,FX,,FadeOut:0.5,await
,BG,,StudentCenter/BG_StudentCenter_Front_Night,await
,Sound,,BGM:Night,>
,FX,,FadeIn:1.0,await
,Text,,"밤이 되어 학생회관 앞을 지나가려는데, 불이 켜진 사무실이 보였다.",click
,Text,,"이 시간에 누가 아직 남아 있는 걸까.",click
# 도희원 등장
,BG,,StudentCenter/BG_StudentCenter_Office_Day,await
,Char,,C:Enter:Heewon,await
,Sound,,BGM:Heewon,>
,Text,도희원,"...누구세요? 아, {{PlayerName}} 씨?",click
,Text,{{PlayerName}},"도희원 학생회장님. 이 시간까지 일하세요?",click
,Char,,C:Emote:Smile,await
,Text,도희원,"행사 준비가 많아서요. 늘 이런 건 아닌데...",click
,Text,도희원,"가끔 이렇게 밤늦게까지 있을 때가 있어요.",click
,Char,,C:Emote:Default,await
,Text,도희원,"{{PlayerName}} 씨는 왜 이 시간에?",click
,Text,{{PlayerName}},그냥 돌아가는 길이었어요. 뭐 도울 거라도 있으면...,click
,Choice,,,click
,Option,,서류 정리를 도와준다|help_heewon,
,Option,,인사만 하고 돌아간다|leave_heewon,
# ─── 선택 1: 도와준다 ───
help_heewon,Char,,C:Emote:Surprised,await
,Text,도희원,"정말요? 고마워요... 사실 혼자서 힘들었거든요.",click
,Macro,,Love:Heewon:3,>
,Text,,"도희원 씨의 서류 정리를 한 시간 정도 도와줬다.\n의외로 꼼꼼한 사람이었다.",click
,Char,,C:Emote:Happy,await
,Text,도희원,"덕분에 빨리 끝났어요. 정말 감사합니다!",click
,Flow,,Jump:heewon_end,>
# ─── 선택 2: 돌아간다 ───
leave_heewon,Text,{{PlayerName}},그럼 무리하지 마세요. 먼저 가볼게요.,click
,Char,,C:Emote:Smile,await
,Text,도희원,"네, 고마워요. 조심히 가세요!",click
,Flow,,Jump:heewon_end,>
# ─── 합류 ───
heewon_end,Char,,C:Exit,await
,Sound,,BGM:Night,>
,BG,,StudentCenter/BG_StudentCenter_Front_Night,await
,Text,,"밤공기가 차갑다.\n집으로 돌아가자.",click
,FX,,FadeOut:1.0,await
,Flow,,End,>
